scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,1.3595991134643555,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen1,2.3308911323547363,3,0,0.0,1.0,0.0,0.0,0.0,1.0
scen2,2.461432695388794,5,0,0.0,1.0,0.0,0.0,0.0,1.0
scen3,3.951824188232422,5,0,0.0,1.0,0.0,0.0,0.0,1.0
scen4,2.2970097064971924,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen5,1.2301521301269531,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen6,3.11725115776062,6,0,0.0,1.0,0.0,0.0,0.0,1.0
scen7,1.736480951309204,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen8,1.7770955562591553,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen9,1.5830461978912354,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen10,2.0686872005462646,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen11,2.9088284969329834,6,0,0.0,1.0,0.0,0.0,0.0,1.0
scen12,1.0995001792907715,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen13,1.2734637260437012,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen14,1.290973424911499,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen15,2.074444532394409,3,0,0.0,1.0,0.0,0.0,0.0,1.0
scen16,1.9694161415100098,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen17,1.4522514343261719,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen18,1.121692419052124,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen19,3.0069620609283447,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen20,1.3813884258270264,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen21,1.6593148708343506,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen22,2.7727866172790527,5,0,0.0,1.0,0.0,0.0,0.0,1.0
scen23,1.6572792530059814,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen24,1.2963404655456543,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen25,1.252056360244751,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen26,1.4094204902648926,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen27,2.2408177852630615,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen28,1.7988848686218262,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen29,1.289872646331787,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen30,1.7699816226959229,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen31,1.191746473312378,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen32,2.364649534225464,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen33,1.2504425048828125,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen34,1.297255277633667,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen35,2.193397045135498,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen36,1.7584543228149414,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen37,1.9423415660858154,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen38,2.2552835941314697,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen39,1.1086087226867676,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen40,2.266849994659424,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen41,1.6431069374084473,3,0,0.0,1.0,0.0,0.0,0.0,1.0
scen42,1.8224642276763916,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen43,1.6355936527252197,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen44,2.030970335006714,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen45,1.6399493217468262,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen46,1.529181718826294,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen47,1.8272185325622559,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen48,0.990750789642334,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen49,1.5429103374481201,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen50,1.4715423583984375,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen51,1.3270316123962402,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen52,1.659900188446045,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen53,1.6509802341461182,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen54,4.470155715942383,8,0,0.0,1.0,0.0,0.0,0.0,1.0
scen55,1.7151308059692383,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen56,2.127274751663208,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen57,1.7575643062591553,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen58,1.839954137802124,1,0,0.0,1.0,0.0,0.0,0.0,1.0
scen59,2.299447536468506,5,0,0.0,1.0,0.0,0.0,0.0,1.0
scen60,1.6930656433105469,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen61,1.6737020015716553,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen62,3.122648000717163,2,0,0.0,1.0,0.0,0.0,0.0,1.0
scen63,1.2050950527191162,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen64,2.1716625690460205,3,0,0.0,1.0,0.0,0.0,0.0,1.0
scen65,1.5975563526153564,0,0,0.0,1.0,0.0,0.0,0.0,1.0
scen66,1.0583419799804688,0,0,0.0,1.0,0.0,0.0,0.0,1.0
