scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,8.461898565292358,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen1,11.061557531356812,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen2,3.291489362716675,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen3,4.341387748718262,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen4,13.723131656646729,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen5,8.651191711425781,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen6,10.071938276290894,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen7,13.645607471466064,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen8,5.71216607093811,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen9,2.5429892539978027,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen10,5.904415130615234,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen11,8.749192714691162,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen12,12.711355686187744,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen13,8.398561954498291,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen14,4.086110830307007,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen15,5.369074583053589,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen16,15.312044382095337,8,0,0.0,0.0,1.0,1.0,0.0,0.0
scen17,11.624118566513062,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen18,10.506704330444336,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen19,11.74008059501648,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen20,9.528044700622559,7,0,0.0,0.0,1.0,1.0,0.0,0.0
scen21,7.7798027992248535,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen22,3.4495272636413574,0,0,0.0,0.0,1.0,1.0,0.0,0.0
scen23,4.3713219165802,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen24,9.43945860862732,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen25,6.064843416213989,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen26,6.907844066619873,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen27,6.541773080825806,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen28,7.472021579742432,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen29,5.673579692840576,7,0,0.0,0.0,1.0,1.0,0.0,0.0
scen30,4.029431581497192,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen31,8.410364151000977,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen32,6.689337968826294,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen33,3.5802340507507324,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen34,6.472619533538818,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen35,7.952826499938965,12,0,0.0,0.0,1.0,1.0,0.0,0.0
scen36,4.3161842823028564,7,0,0.0,0.0,1.0,1.0,0.0,0.0
scen37,5.503229856491089,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen38,3.8211402893066406,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen39,4.315384149551392,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen40,9.193158626556396,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen41,8.558816909790039,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen42,3.6689960956573486,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen43,8.043023109436035,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen44,8.828737497329712,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen45,13.7391996383667,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen46,5.2278032302856445,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen47,3.645733118057251,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen48,5.915948390960693,11,0,0.0,0.0,1.0,1.0,0.0,0.0
scen49,6.27301287651062,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen50,10.838135957717896,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen51,8.330942153930664,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen52,5.878710985183716,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen53,5.099145412445068,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen54,6.44406795501709,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen55,6.981441497802734,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen56,3.681823968887329,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen57,16.398841857910156,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen58,3.801518201828003,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen59,12.571823596954346,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen60,7.8846540451049805,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen61,4.496163606643677,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen62,3.821423053741455,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen63,4.208014726638794,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen64,20.126657962799072,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen65,4.637712717056274,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen66,4.026464939117432,7,0,0.0,0.0,1.0,1.0,0.0,0.0
scen67,8.027703046798706,7,0,0.0,0.0,1.0,1.0,0.0,0.0
scen68,7.444543838500977,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen69,4.839369535446167,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen70,4.136958837509155,8,0,0.0,0.0,1.0,1.0,0.0,0.0
scen71,8.879039287567139,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen72,5.150989770889282,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen73,13.000440120697021,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen74,8.191687822341919,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen75,6.058919191360474,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen76,3.8626339435577393,6,0,0.0,0.0,1.0,1.0,0.0,0.0
scen77,7.287590026855469,5,0,0.0,0.0,1.0,1.0,0.0,0.0
scen78,7.550942659378052,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen79,4.221939563751221,1,0,0.0,0.0,1.0,1.0,0.0,0.0
scen80,9.089887142181396,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen81,6.82884407043457,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen82,6.213106155395508,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen83,7.149551868438721,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen84,11.657010555267334,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen85,8.805816173553467,3,0,0.0,0.0,1.0,1.0,0.0,0.0
scen86,4.860030174255371,0,0,0.0,0.0,1.0,1.0,0.0,0.0
scen87,3.6869895458221436,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen88,5.400654315948486,4,0,0.0,0.0,1.0,1.0,0.0,0.0
scen89,5.36072564125061,2,0,0.0,0.0,1.0,1.0,0.0,0.0
scen90,2.962770462036133,3,0,0.0,0.0,1.0,1.0,0.0,0.0
