scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,14.217475414276123,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen1,8.891045808792114,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen2,4.877086162567139,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen3,7.494606971740723,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen4,6.727085828781128,2,0,0.0,0.0,1.0,0.0,1.0,0.0
scen5,3.635091781616211,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen6,4.384541749954224,1,0,0.0,0.0,1.0,0.0,1.0,0.0
scen7,7.706709146499634,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen8,8.369990110397339,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen9,11.617023706436157,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen10,8.579640626907349,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen11,4.352908372879028,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen12,4.380621671676636,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen13,14.77285647392273,6,0,0.0,0.0,1.0,0.0,1.0,0.0
scen14,12.092170238494873,6,0,0.0,0.0,1.0,0.0,1.0,0.0
scen15,4.249481201171875,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen16,8.912503719329834,10,0,0.0,0.0,1.0,0.0,1.0,0.0
scen17,8.854655504226685,6,0,0.0,0.0,1.0,0.0,1.0,0.0
scen18,6.754836797714233,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen19,12.006106615066528,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen20,9.437081575393677,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen21,10.372005224227905,9,0,0.0,0.0,1.0,0.0,1.0,0.0
scen22,11.066452980041504,10,0,0.0,0.0,1.0,0.0,1.0,0.0
scen23,5.759247303009033,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen24,9.348807334899902,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen25,6.364830017089844,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen26,7.80023193359375,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen27,6.304182291030884,3,0,0.0,0.0,1.0,0.0,1.0,0.0
scen28,7.147130966186523,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen29,7.870771408081055,9,0,0.0,0.0,1.0,0.0,1.0,0.0
scen30,11.304625272750854,2,0,0.0,0.0,1.0,0.0,1.0,0.0
scen31,11.008562088012695,5,0,0.0,0.0,1.0,0.0,1.0,0.0
scen32,18.58263373374939,2,0,0.0,0.0,1.0,0.0,1.0,0.0
scen33,9.411336421966553,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen34,6.646378040313721,4,0,0.0,0.0,1.0,0.0,1.0,0.0
scen35,3.787177801132202,5,0,0.0,0.0,1.0,0.0,1.0,0.0
