scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,2.6593525409698486,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen1,3.5621438026428223,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen2,5.5220582485198975,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen3,2.5484862327575684,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen4,2.2508912086486816,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen5,2.386542320251465,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen6,2.835874319076538,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen7,7.253803014755249,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen8,1.863304615020752,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen9,3.0563406944274902,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen10,1.7724409103393555,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen11,1.9302430152893066,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen12,2.2878730297088623,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen13,2.7560536861419678,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen14,2.846224546432495,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen15,2.8599586486816406,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen16,6.276211500167847,7,0,1.0,0.0,1.0,0.0,0.0,0.0
scen17,2.728271722793579,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen18,2.632398843765259,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen19,2.324479103088379,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen20,1.9256436824798584,7,0,1.0,0.0,1.0,0.0,0.0,0.0
scen21,3.2882165908813477,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen22,2.075023889541626,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen23,2.904932737350464,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen24,1.9125030040740967,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen25,2.476172924041748,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen26,2.404844284057617,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen27,2.722139835357666,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen28,2.2584359645843506,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen29,2.345707654953003,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen30,2.444570302963257,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen31,2.8379104137420654,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen32,3.1723222732543945,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen33,6.6131579875946045,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen34,3.987901449203491,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen35,1.8047115802764893,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen36,3.790623426437378,7,0,1.0,0.0,1.0,0.0,0.0,0.0
scen37,5.983323335647583,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen38,2.3543756008148193,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen39,4.989222288131714,6,0,1.0,0.0,1.0,0.0,0.0,0.0
scen40,2.9497413635253906,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen41,1.8592736721038818,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen42,2.3219168186187744,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen43,4.505581617355347,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen44,2.9276504516601562,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen45,1.7500967979431152,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen46,3.8802456855773926,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen47,2.392756223678589,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen48,2.998072385787964,9,0,1.0,0.0,1.0,0.0,0.0,0.0
scen49,3.578716993331909,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen50,2.4825236797332764,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen51,1.9809026718139648,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen52,2.290059804916382,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen53,2.835580587387085,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen54,2.0579326152801514,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen55,2.6914000511169434,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen56,3.8097705841064453,7,0,1.0,0.0,1.0,0.0,0.0,0.0
scen57,3.3600106239318848,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen58,2.6251277923583984,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen59,2.821599006652832,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen60,3.867689609527588,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen61,2.578888416290283,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen62,2.1756551265716553,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen63,10.03086543083191,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen64,3.1048216819763184,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen65,3.254183292388916,7,0,1.0,0.0,1.0,0.0,0.0,0.0
scen66,2.336596965789795,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen67,2.93385648727417,8,0,1.0,0.0,1.0,0.0,0.0,0.0
scen68,2.156280994415283,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen69,2.636976480484009,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen70,2.122194290161133,6,0,1.0,0.0,1.0,0.0,0.0,0.0
scen71,2.4023237228393555,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen72,7.898752689361572,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen73,2.905176877975464,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen74,2.2131693363189697,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen75,2.2585418224334717,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen76,2.9268076419830322,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen77,3.8291988372802734,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen78,2.8082265853881836,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen79,2.240729331970215,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen80,2.683973550796509,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen81,2.9691741466522217,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen82,3.1341116428375244,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen83,3.717184066772461,9,0,1.0,0.0,1.0,0.0,0.0,0.0
scen84,2.686896800994873,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen85,3.2887399196624756,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen86,3.17875337600708,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen87,3.4770615100860596,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen88,1.8296220302581787,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen89,2.556422233581543,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen90,2.8719518184661865,1,0,1.0,0.0,1.0,0.0,0.0,0.0
scen91,2.37443470954895,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen92,2.4830048084259033,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen93,2.414029359817505,3,0,1.0,0.0,1.0,0.0,0.0,0.0
scen94,2.2010908126831055,0,0,1.0,0.0,1.0,0.0,0.0,0.0
scen95,3.5785205364227295,5,0,1.0,0.0,1.0,0.0,0.0,0.0
scen96,1.6848475933074951,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen97,2.512256622314453,2,0,1.0,0.0,1.0,0.0,0.0,0.0
scen98,4.625571250915527,4,0,1.0,0.0,1.0,0.0,0.0,0.0
scen99,4.227278232574463,1,0,1.0,0.0,1.0,0.0,0.0,0.0
