scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,2.3680343627929688,5,0,0.0,1.0,0.0,1.0,0.0,0.0
scen1,2.067718982696533,0,0,0.0,1.0,0.0,1.0,0.0,0.0
scen2,1.6662933826446533,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen3,2.215928792953491,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen4,2.2593777179718018,1,0,0.0,1.0,0.0,1.0,0.0,0.0
scen5,2.0659468173980713,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen6,2.4557044506073,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen7,1.7803053855895996,1,0,0.0,1.0,0.0,1.0,0.0,0.0
scen8,2.5777711868286133,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen9,1.9048247337341309,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen10,2.306718111038208,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen11,2.581815481185913,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen12,2.9022841453552246,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen13,2.370143413543701,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen14,1.9212768077850342,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen15,5.481204986572266,10,0,0.0,1.0,0.0,1.0,0.0,0.0
scen16,2.7533411979675293,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen17,3.2231593132019043,5,0,0.0,1.0,0.0,1.0,0.0,0.0
scen18,2.2924840450286865,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen19,2.3217406272888184,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen20,1.607525110244751,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen21,3.52234148979187,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen22,2.0839438438415527,0,0,0.0,1.0,0.0,1.0,0.0,0.0
scen23,2.32119083404541,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen24,2.06826114654541,2,0,0.0,1.0,0.0,1.0,0.0,0.0
scen25,2.365762948989868,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen26,3.45595383644104,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen27,1.9827048778533936,0,0,0.0,1.0,0.0,1.0,0.0,0.0
scen28,1.5100457668304443,1,0,0.0,1.0,0.0,1.0,0.0,0.0
scen29,2.6160731315612793,5,0,0.0,1.0,0.0,1.0,0.0,0.0
scen30,2.414839744567871,1,0,0.0,1.0,0.0,1.0,0.0,0.0
scen31,2.2484309673309326,4,0,0.0,1.0,0.0,1.0,0.0,0.0
scen32,2.7336034774780273,3,0,0.0,1.0,0.0,1.0,0.0,0.0
scen33,1.6892526149749756,1,0,0.0,1.0,0.0,1.0,0.0,0.0
scen34,1.9576029777526855,5,0,0.0,1.0,0.0,1.0,0.0,0.0
scen35,3.5250773429870605,5,0,0.0,1.0,0.0,1.0,0.0,0.0
