scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,12.364461660385132,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen1,8.870369672775269,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen2,4.28466796875,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen3,3.7446916103363037,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen4,27.244817972183228,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen5,2.376804828643799,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen6,23.96964454650879,8,0,0.0,0.0,0.0,0.0,1.0,1.0
scen7,8.036000490188599,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen8,9.092320442199707,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen9,7.959076404571533,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen10,9.833010196685791,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen11,9.233516454696655,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen12,5.165808200836182,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen13,5.188857316970825,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen14,4.684211730957031,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen15,4.12725567817688,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen16,2.6723132133483887,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen17,3.4849767684936523,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen18,4.405657529830933,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen19,12.224822521209717,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen20,7.3365631103515625,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen21,2.6454405784606934,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen22,15.191609144210815,10,0,0.0,0.0,0.0,0.0,1.0,1.0
scen23,7.809271812438965,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen24,9.30967903137207,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen25,4.0434250831604,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen26,7.633807897567749,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen27,14.376901626586914,8,0,0.0,0.0,0.0,0.0,1.0,1.0
scen28,8.58243203163147,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen29,2.6106507778167725,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen30,9.498574256896973,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen31,6.511706352233887,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen32,15.418874502182007,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen33,4.790048122406006,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen34,10.319416046142578,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen35,10.280197381973267,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen36,2.6590518951416016,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen37,9.380990743637085,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen38,6.735805034637451,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen39,8.172996282577515,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen40,7.307352066040039,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen41,7.0735321044921875,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen42,3.9318864345550537,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen43,4.543076038360596,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen44,6.686211824417114,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen45,6.837827205657959,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen46,8.550318956375122,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen47,8.958507537841797,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen48,6.7962281703948975,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen49,6.218008279800415,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen50,10.169153690338135,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen51,4.098783016204834,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen52,6.243076801300049,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen53,10.494704484939575,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen54,18.82967257499695,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen55,8.517592191696167,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen56,10.333329439163208,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen57,8.127600193023682,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen58,14.149150371551514,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen59,3.593374013900757,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen60,11.637181282043457,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen61,3.946054220199585,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen62,3.824802875518799,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen63,5.8686583042144775,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen64,4.629450798034668,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen65,12.595892906188965,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen66,7.957479476928711,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen67,4.554513692855835,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen68,13.743421792984009,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen69,7.927767515182495,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen70,3.4431638717651367,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen71,11.019101858139038,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen72,3.5295040607452393,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen73,4.785982847213745,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen74,4.451280117034912,6,0,0.0,0.0,0.0,0.0,1.0,1.0
scen75,5.094441175460815,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen76,6.245223045349121,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen77,7.8500566482543945,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen78,12.509272813796997,5,0,0.0,0.0,0.0,0.0,1.0,1.0
scen79,8.083991527557373,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen80,10.473126411437988,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen81,9.887290000915527,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen82,9.753309488296509,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen83,7.196530103683472,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen84,6.218388557434082,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen85,17.53896474838257,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen86,24.86085844039917,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen87,9.63784646987915,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen88,6.628595590591431,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen89,4.340083360671997,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen90,2.9060044288635254,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen91,4.199854373931885,2,0,0.0,0.0,0.0,0.0,1.0,1.0
scen92,7.159802198410034,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen93,2.7746706008911133,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen94,13.493762731552124,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen95,4.096745252609253,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen96,6.366394758224487,6,0,0.0,0.0,0.0,0.0,1.0,1.0
scen97,11.282582759857178,3,0,0.0,0.0,0.0,0.0,1.0,1.0
scen98,7.175745964050293,4,0,0.0,0.0,0.0,0.0,1.0,1.0
scen99,18.354679822921753,3,0,0.0,0.0,0.0,0.0,1.0,1.0
