scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,2.0656676292419434,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen1,2.1788864135742188,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen2,2.0877161026000977,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen3,2.7061824798583984,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen4,1.8671669960021973,1,0,1.0,0.0,0.0,1.0,0.0,0.0
scen5,2.3321688175201416,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen6,2.127676486968994,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen7,1.6827518939971924,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen8,2.396702527999878,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen9,2.094644546508789,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen10,4.995590448379517,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen11,2.6021413803100586,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen12,2.688171148300171,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen13,2.706418037414551,6,0,1.0,0.0,0.0,1.0,0.0,0.0
scen14,2.1182658672332764,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen15,3.886213541030884,7,0,1.0,0.0,0.0,1.0,0.0,0.0
scen16,3.3837573528289795,7,0,1.0,0.0,0.0,1.0,0.0,0.0
scen17,2.2712008953094482,5,0,1.0,0.0,0.0,1.0,0.0,0.0
scen18,2.4037952423095703,5,0,1.0,0.0,0.0,1.0,0.0,0.0
scen19,2.3659183979034424,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen20,2.6536831855773926,11,0,1.0,0.0,0.0,1.0,0.0,0.0
scen21,2.2157630920410156,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen22,2.5381484031677246,0,0,1.0,0.0,0.0,1.0,0.0,0.0
scen23,2.2587006092071533,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen24,1.744020700454712,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen25,2.204364061355591,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen26,3.434274435043335,6,0,1.0,0.0,0.0,1.0,0.0,0.0
scen27,2.8170289993286133,0,0,1.0,0.0,0.0,1.0,0.0,0.0
scen28,2.1330106258392334,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen29,2.129507541656494,5,0,1.0,0.0,0.0,1.0,0.0,0.0
scen30,2.6035573482513428,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen31,2.273264169692993,4,0,1.0,0.0,0.0,1.0,0.0,0.0
scen32,2.104895830154419,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen33,1.966200828552246,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen34,1.828446865081787,5,0,1.0,0.0,0.0,1.0,0.0,0.0
scen35,3.7553188800811768,3,0,1.0,0.0,0.0,1.0,0.0,0.0
scen36,3.5414364337921143,7,0,1.0,0.0,0.0,1.0,0.0,0.0
scen37,2.0179250240325928,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen38,2.1015803813934326,2,0,1.0,0.0,0.0,1.0,0.0,0.0
scen39,2.2722716331481934,5,0,1.0,0.0,0.0,1.0,0.0,0.0
scen40,3.5270843505859375,5,0,1.0,0.0,0.0,1.0,0.0,0.0
