dim_1,dim_2,dim_3,dim_4,value
21,22,13,6,15100.0
21,26,1,6,14145.0
21,27,2,15,33178.0
21,27,4,12,32303.0
21,27,9,26,34610.0
22,27,3,18,28942.0
22,27,5,8,34610.0
22,27,10,37,4390.0
22,27,12,30,19500.0
22,27,13,10,25016.0
26,27,1,17,33178.0
26,27,6,5,24888.0
26,27,8,14,33645.0
26,27,11,8,30704.0
26,27,14,15,27518.0
26,27,15,19,27518.0
