dim_1,dim_2,dim_3,dim_4,value
21,21,5,7,1.0
21,21,5,8,1.0
21,21,5,9,1.0
21,21,5,10,1.0
21,21,5,11,1.0
21,21,5,12,1.0
21,21,5,13,1.0
21,21,5,14,1.0
21,21,5,15,1.0
21,21,5,16,1.0
21,21,5,17,1.0
21,21,5,18,1.0
21,21,5,19,1.0
21,21,5,20,1.0
21,21,5,21,1.0
21,21,5,22,1.0
21,21,5,23,1.0
21,21,5,24,1.0
21,21,5,25,1.0
21,21,5,26,1.0
21,21,5,27,1.0
21,21,5,28,1.0
21,21,5,29,1.0
21,21,5,30,1.0
21,21,5,31,1.0
21,21,5,32,1.0
21,21,5,33,1.0
21,21,5,34,1.0
21,21,5,35,1.0
21,21,5,36,1.0
21,21,5,37,1.0
21,21,5,38,1.0
21,21,5,39,1.0
21,21,5,40,1.0
21,21,5,41,1.0
21,21,5,42,1.0
21,21,5,43,1.0
21,21,5,44,1.0
21,21,5,45,1.0
21,21,5,46,1.0
21,21,5,47,1.0
21,21,5,48,1.0
21,21,5,49,1.0
21,21,5,50,1.0
21,21,5,51,1.0
21,21,5,52,1.0
21,21,5,53,1.0
21,21,5,54,1.0
21,21,5,55,1.0
21,21,5,56,1.0
21,21,5,57,1.0
21,21,5,58,1.0
21,21,5,59,1.0
21,21,5,60,1.0
21,21,6,1,1.0
21,21,6,2,1.0
21,21,6,3,1.0
21,21,6,4,1.0
21,21,6,5,1.0
21,21,6,6,1.0
21,21,6,7,1.0
21,21,6,8,1.0
21,21,6,9,1.0
21,21,6,10,1.0
21,21,6,11,1.0
21,21,6,12,1.0
21,21,6,13,1.0
21,21,6,14,1.0
21,21,6,15,1.0
21,21,6,16,1.0
21,21,6,17,1.0
21,21,6,18,1.0
21,21,6,19,1.0
21,21,6,20,1.0
21,21,6,21,1.0
21,21,6,22,1.0
21,21,6,23,1.0
21,21,6,24,1.0
21,21,6,25,1.0
21,21,6,26,1.0
21,21,6,27,1.0
21,21,6,28,1.0
21,21,6,29,1.0
21,21,6,30,1.0
21,21,6,31,1.0
21,21,6,32,1.0
21,21,6,33,1.0
21,21,6,34,1.0
21,21,6,35,1.0
21,21,6,36,1.0
21,21,6,37,1.0
21,21,6,38,1.0
21,21,6,39,1.0
21,21,6,40,1.0
21,21,6,41,1.0
21,21,6,42,1.0
21,21,6,43,1.0
21,21,6,44,1.0
21,21,6,45,1.0
21,21,6,46,1.0
21,21,6,47,1.0
21,21,6,48,1.0
21,21,6,49,1.0
21,21,6,50,1.0
21,21,6,51,1.0
21,21,6,52,1.0
21,21,6,53,1.0
21,21,6,54,1.0
21,21,6,55,1.0
21,21,6,56,1.0
21,21,6,57,1.0
21,21,6,58,1.0
21,21,6,59,1.0
21,21,6,60,1.0
21,21,7,1,1.0
21,21,7,2,1.0
21,21,7,3,1.0
21,21,7,4,1.0
21,21,7,5,1.0
21,21,7,6,1.0
21,21,7,7,1.0
21,21,7,8,1.0
21,21,7,9,1.0
21,21,7,10,1.0
21,21,7,11,1.0
21,21,7,12,1.0
21,21,7,13,1.0
21,21,7,14,1.0
21,21,7,15,1.0
21,21,7,16,1.0
21,21,7,17,1.0
21,21,7,18,1.0
21,21,7,19,1.0
21,21,7,20,1.0
21,21,7,21,1.0
21,21,7,22,1.0
21,21,7,23,1.0
21,21,7,24,1.0
