scenario,wall_time,final_day_add,objective_value,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen0,2.0857794284820557,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen1,3.546189069747925,4,0,1.0,0.0,0.0,0.0,0.0,1.0
scen2,1.1081767082214355,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen3,3.298924207687378,4,0,1.0,0.0,0.0,0.0,0.0,1.0
scen4,2.9908785820007324,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen5,2.6891825199127197,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen6,14.712270021438599,12,0,1.0,0.0,0.0,0.0,0.0,1.0
scen7,3.7809462547302246,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen8,1.8451905250549316,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen9,2.684567928314209,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen10,2.4047720432281494,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen11,3.1253561973571777,4,0,1.0,0.0,0.0,0.0,0.0,1.0
scen12,1.0550751686096191,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen13,1.4035332202911377,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen14,2.048279047012329,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen15,1.7593233585357666,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen16,3.7215921878814697,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen17,1.742269515991211,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen18,1.4740118980407715,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen19,4.407711505889893,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen20,1.5639162063598633,4,0,1.0,0.0,0.0,0.0,0.0,1.0
scen21,1.73408842086792,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen22,3.370271682739258,5,0,1.0,0.0,0.0,0.0,0.0,1.0
scen23,2.112421751022339,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen24,1.6888065338134766,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen25,1.4795963764190674,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen26,1.732954502105713,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen27,2.134882926940918,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen28,1.7621753215789795,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen29,1.1775469779968262,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen30,2.498354434967041,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen31,2.1680409908294678,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen32,2.008911609649658,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen33,1.353081464767456,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen34,1.781280279159546,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen35,1.5166592597961426,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen36,1.3671443462371826,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen37,1.9812757968902588,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen38,1.9625673294067383,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen39,1.2320680618286133,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen40,2.328761100769043,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen41,3.4072494506835938,6,0,1.0,0.0,0.0,0.0,0.0,1.0
scen42,2.1273138523101807,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen43,5.276813745498657,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen44,1.9328391551971436,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen45,7.918310165405273,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen46,2.1279616355895996,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen47,2.426250457763672,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen48,1.8780159950256348,4,0,1.0,0.0,0.0,0.0,0.0,1.0
scen49,1.3957138061523438,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen50,3.0829544067382812,5,0,1.0,0.0,0.0,0.0,0.0,1.0
scen51,2.72761607170105,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen52,2.2368719577789307,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen53,2.147122859954834,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen54,3.615934133529663,8,0,1.0,0.0,0.0,0.0,0.0,1.0
scen55,3.888662099838257,8,0,1.0,0.0,0.0,0.0,0.0,1.0
scen56,3.16286039352417,5,0,1.0,0.0,0.0,0.0,0.0,1.0
scen57,2.163184642791748,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen58,2.204399585723877,2,0,1.0,0.0,0.0,0.0,0.0,1.0
scen59,3.1724510192871094,5,0,1.0,0.0,0.0,0.0,0.0,1.0
scen60,3.7593741416931152,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen61,1.8240320682525635,0,0,1.0,0.0,0.0,0.0,0.0,1.0
scen62,2.1999173164367676,1,0,1.0,0.0,0.0,0.0,0.0,1.0
scen63,1.8014945983886719,1,0,1.0,0.0,0.0,0.0,0.0,1.0
