scenario,wall_time,y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],y_open[12]
scen72,14.084222316741943,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen73,39.48502254486084,0.0,1.0,0.0,0.0,0.0,1.0
scen74,34.19312500953674,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen75,49.40434122085571,2.6140657197910637e-08,0.9999999755260095,-0.0,-0.0,-0.0,1.0
scen76,33.605337619781494,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen77,20.997302532196045,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen78,39.268086194992065,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen79,23.09425115585327,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen80,26.790356159210205,0.0,1.0,-0.0,-0.0,-0.0,1.0
scen81,36.73886013031006,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen82,24.6969633102417,1.0,-0.0,0.0,-0.0,0.0,1.0
scen83,12.001200199127197,0.0,0.0,0.0,1.0,1.0,0.0
scen84,46.32280349731445,0.0,1.0,0.0,0.0,1.0,0.0
scen85,46.274240016937256,0.9999999949788064,5.020680970173566e-09,-0.0,-0.0,-0.0,1.0
scen86,62.13557529449463,1.0,0.0,-0.0,1.0,-0.0,-0.0
scen87,24.668033599853516,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen88,56.252705335617065,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen89,27.655500650405884,-0.0,-0.0,-0.0,1.0,1.0,-0.0
scen90,66.86179518699646,1.0,-0.0,-0.0,-0.0,1.0,-0.0
scen91,40.691556453704834,1.0,-0.0,-0.0,-0.0,-0.0,1.0
scen92,24.51534366607666,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen93,25.21415662765503,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen94,61.9111807346344,1.0,-0.0,1.0,-0.0,-0.0,-0.0
scen95,12.591301679611206,-0.0,1.0,-0.0,-0.0,-0.0,1.0
scen96,27.887787103652954,-0.0,1.0,1.0,-0.0,-0.0,-0.0
scen97,67.84232521057129,-0.0,1.0,-0.0,-0.0,1.0,-0.0
scen98,18.056763410568237,0.0,1.0,0.0,0.0,0.0,1.0
scen99,54.88538432121277,0.0,1.0,0.0,0.0,0.0,1.0
