outload_key,num_samples,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],avg_obj,count
22,4,0,1,1,0,0,0,3652144.28125,4
22,6,0,1,0,0,0,1,3619929.389,3
22,6,0,1,0,0,1,0,3553973.9443333335,3
23,2,0,1,0,0,0,1,3254146.75,10
23,2,0,1,0,0,1,0,3511523.525,10
23,4,0,1,0,0,0,1,3411257.1875,4
23,4,0,1,0,0,1,0,3472258.6875,4
23,4,0,1,1,0,0,0,3490626.625,4
23,6,0,1,0,0,0,1,3455843.889,3
23,6,0,1,0,0,1,0,3501879.722333333,3
23,6,0,1,1,0,0,0,3488541.3333333335,3
24,2,0,1,0,0,0,1,3590229.6428571427,7
24,2,0,1,0,0,1,0,3588886.5,7
24,2,0,1,1,0,0,0,3751371.6428571427,7
24,4,0,1,0,0,0,1,3570744.4375,4
24,4,0,1,0,0,1,0,3603955.125,4
24,4,0,1,1,0,0,0,3584245.625,4
24,6,0,1,0,0,0,1,3565755.2779999995,3
24,6,0,1,0,0,1,0,3636360.9443333335,3
25,2,0,1,0,0,0,1,3366475.3333333335,6
25,2,0,1,0,0,1,0,3424649.6666666665,6
25,2,0,1,1,0,0,0,3490240.5,6
25,2,1,0,0,0,0,1,3481932.4721666668,6
25,4,0,1,0,0,0,1,3459775.0625,4
25,4,0,1,0,0,1,0,3466819.5625,4
25,4,0,1,1,0,0,0,3418263.0625,4
25,6,0,1,0,0,0,1,3402231.611333333,3
25,6,0,1,0,0,1,0,3549872.1666666665,3
25,6,1,0,0,0,0,1,3503174.5556666665,3
26,2,0,1,0,0,0,1,3610573.4166666665,6
26,2,0,1,0,0,1,0,3682617.4583333335,6
26,2,0,1,1,0,0,0,3689081.5833333335,6
26,2,1,0,1,0,0,0,3968088.0,6
26,4,0,1,0,0,0,1,3662462.0833333335,3
26,4,0,1,0,0,1,0,3722527.9166666665,3
26,4,0,1,1,0,0,0,3596156.1666666665,3
26,6,0,1,0,0,0,1,3652363.8333333335,3
26,6,0,1,0,0,1,0,3661199.0553333336,3
27,2,0,1,0,0,0,1,3624561.7,5
27,2,0,1,0,0,1,0,3534410.7,5
27,2,0,1,1,0,0,0,3571304.05,5
27,2,1,0,1,0,0,0,3606061.3,5
27,4,0,1,0,0,0,1,3416318.05,5
27,4,0,1,1,0,0,0,3521451.4,5
27,6,0,1,0,0,0,1,3370580.83325,4
28,2,0,1,0,0,0,1,3276073.5714285714,7
28,2,0,1,0,0,1,0,3272450.0,7
28,2,1,0,0,0,0,1,3372867.0714285714,7
28,4,0,1,0,0,0,1,3430617.6875,4
28,4,0,1,0,0,1,0,3365553.375,4
28,4,0,1,1,0,0,0,3410732.5,4
28,6,0,1,0,0,0,1,3230174.292,4
