outload_key,num_samples,replication,wall_clock_time,elapsed_time,obj,term,is_fixed,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11]
1,4,1,230.5493934,422.5936625,3471227,optimal,FALSE,0,1,1,0,0,0
1,4,1,70.55540419,582.8213112,3495642.5,optimal,TRUE,0,1,0,0,0,1
1,4,1,70.65560031,962.2280812,3655471.25,optimal,TRUE,0,1,0,0,1,0
1,4,2,210.1227219,802.1925664,3434102.5,optimal,FALSE,0,1,0,0,1,0
1,4,2,82.4488833,1053.885447,3738734,optimal,TRUE,0,1,1,0,0,0
1,4,2,75.29894447,1138.426616,3660094,optimal,TRUE,0,1,0,0,0,1
1,4,3,242.6193812,1390.010054,3565241.5,optimal,FALSE,0,1,1,0,0,0
1,4,3,59.38034725,1458.244663,3569678,optimal,TRUE,0,1,0,0,0,1
1,4,3,70.92950749,1538.471188,3760038.75,optimal,TRUE,0,1,0,0,1,0
1,6,0,348.307513,361.3757758,3466552.167,optimal,FALSE,0,1,0,0,0,1
1,6,0,123.5910828,780.5554676,3573878.333,optimal,TRUE,0,1,1,0,0,0
1,6,0,106.9244144,1613.420265,3640203.333,optimal,TRUE,0,1,0,0,1,0
1,6,1,267.3174281,642.6822178,3548027.333,optimal,FALSE,0,1,1,0,0,0
1,6,1,114.794436,908.5914409,3658943.5,optimal,TRUE,0,1,0,0,0,1
1,6,1,116.0400121,1743.448819,3643188.333,optimal,TRUE,0,1,0,0,1,0
1,6,2,570.1947629,1492.708737,3698206.667,optimal,FALSE,0,1,0,0,1,0
1,6,2,124.2840123,1880.900504,3889326.5,optimal,TRUE,0,1,1,0,0,0
1,6,2,97.99577904,1992.959928,3705259,optimal,TRUE,0,1,0,0,0,1
2,2,0,99.79251599,105.1741309,3334949,optimal,FALSE,0,1,0,0,0,1
2,2,0,26.83747315,325.8612661,3417490,optimal,TRUE,0,1,0,0,1,0
2,2,0,29.17678595,561.3823864,3459513,optimal,TRUE,1,0,0,0,0,1
2,2,0,34.34436703,844.7763681,3540681.5,optimal,TRUE,0,1,0,1,0,0
2,2,1,77.40137959,187.3279819,3344250,optimal,FALSE,0,1,0,0,0,1
2,2,1,39.02937651,369.5915377,3779275,optimal,TRUE,0,1,0,0,1,0
2,2,1,29.45506191,595.5099139,3549781.5,optimal,TRUE,1,0,0,0,0,1
2,2,1,44.24248648,893.667829,3948010,optimal,TRUE,0,1,0,1,0,0
2,2,2,102.4433875,294.3924313,3328332.5,optimal,FALSE,0,1,0,0,1,0
2,2,2,40.08950496,414.3581178,3747188.5,optimal,TRUE,0,1,0,0,0,1
2,2,2,34.96227503,635.2284288,3716679.5,optimal,TRUE,1,0,0,0,0,1
2,2,2,52.55729127,951.0020599,4279484,optimal,TRUE,0,1,0,1,0,0
2,2,3,108.480638,527.5107594,3453615,optimal,FALSE,1,0,0,0,0,1
2,2,3,24.00625706,663.9476435,3484622.5,optimal,TRUE,0,1,0,0,0,1
2,2,3,35.44562078,704.0907905,3638982.5,optimal,TRUE,0,1,0,0,1,0
2,2,3,46.39421511,1002.129593,4007386.5,optimal,TRUE,0,1,0,1,0,0
2,2,4,96.90798402,805.7400651,3478750,optimal,FALSE,0,1,0,1,0,0
2,2,4,27.6281693,1034.476402,3528031,optimal,TRUE,0,1,0,0,0,1
2,2,4,30.6833756,1069.873203,3607372.5,optimal,TRUE,0,1,0,0,1,0
2,2,4,27.67169642,1102.236801,3712035,optimal,TRUE,1,0,0,0,0,1
2,2,5,68.01470304,1174.905934,3258112,optimal,FALSE,0,1,0,0,0,1
2,2,5,40.19790721,1219.878193,3562788.5,optimal,TRUE,0,1,0,1,0,0
2,2,5,36.40618134,1260.972943,3698052.5,optimal,TRUE,0,1,0,0,1,0
2,2,5,25.86464763,1291.619022,3449577.5,optimal,TRUE,1,0,0,0,0,1
2,4,0,141.7112694,150.4284003,3437474.5,optimal,FALSE,0,1,1,0,0,0
2,4,0,58.85296416,400.5432513,3505914.5,optimal,TRUE,0,1,0,0,0,1
2,4,0,72.41616988,1095.037969,3830413.75,optimal,TRUE,0,1,0,0,1,0
2,4,1,172.2348816,331.9731767,3520150.25,optimal,FALSE,0,1,0,0,0,1
2,4,1,59.20421171,468.72664,3550020,optimal,TRUE,0,1,1,0,0,0
2,4,1,56.68287563,1160.779638,3709181.25,optimal,TRUE,0,1,0,0,1,0
2,4,2,227.0840023,705.0012434,3527141.5,optimal,FALSE,0,1,0,0,0,1
2,4,2,88.0903089,802.3404121,3691436,optimal,TRUE,0,1,1,0,0,0
2,4,2,61.19358253,1231.394309,3597848.75,optimal,TRUE,0,1,0,0,1,0
2,4,3,202.2957463,1013.815732,3508352.5,optimal,FALSE,0,1,0,0,1,0
2,4,3,248.3946645,258.9381158,4392675.75,optimal,TRUE,0,1,1,0,0,0
2,4,3,77.23442221,2173.027099,4021410.75,optimal,TRUE,0,1,0,0,0,1
2,6,0,318.1811492,331.1885135,3379915,optimal,FALSE,0,1,0,0,1,0
2,6,0,120.1549685,785.4859967,3463887.667,optimal,TRUE,0,1,0,0,0,1
2,6,1,306.3275573,651.7005458,3507810.333,optimal,FALSE,0,1,0,0,0,1
2,6,1,99.97345281,899.0159893,3789927.5,optimal,TRUE,0,1,0,0,1,0
2,6,2,327.5029638,1239.535134,3379439.167,optimal,FALSE,0,1,0,0,1,0
2,6,2,112.7603903,1366.235913,3467706.5,optimal,TRUE,0,1,0,0,0,1
3,2,0,71.58188605,77.62058616,3409683,optimal,FALSE,0,1,0,0,0,1
3,2,0,51.06421614,643.4048185,4148294.5,optimal,TRUE,0,1,1,0,0,0
3,2,1,61.25671053,143.5233665,3357765,optimal,FALSE,0,1,0,0,0,1
3,2,1,30.73959041,678.7709713,3385061,optimal,TRUE,0,1,1,0,0,0
